EndDate,EventID,Other,RoadName,StartDate,SvcDept
2016-06-27,RMINRM-201512-1029,"For details, please call",PUNGGOL ROAD,2015-12-28,LAND TRANSPORT AUTHORITY
2016-06-27,RMINRM-201512-1024,"For details, please call",PUNGGOL ROAD,2015-12-28,LAND TRANSPORT AUTHORITY
2016-06-27,RMINRM-201512-1027,"For details, please call",PUNGGOL ROAD,2015-12-28,LAND TRANSPORT AUTHORITY
2016-06-27,RMINRM-201512-0714,"For details, please call",PUNGGOL ROAD,2015-12-28,LAND TRANSPORT AUTHORITY
2016-06-27,RMINRM-201512-1026,"For details, please call",PUNGGOL ROAD,2015-12-28,LAND TRANSPORT AUTHORITY
2016-09-12,RMINRM-201603-0318,"For details, please call 6396 2102",PUNGGOL WAY (Bus Lane Affected),2016-03-14,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0445,"For details, please call 65946504",QUEEN STREET (Bus Lane Affected),2016-03-21,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0443,"For details, please call 65946504",QUEEN STREET (Bus Lane Affected),2016-03-21,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0437,"For details, please call 65946504",REPUBLIC AVENUE,2016-03-21,LAND TRANSPORT AUTHORITY
2016-05-30,RMINRM-201605-0120,"For details, please call 6553 5464",REPUBLIC BOULEVARD (Bus Lane Affected),2016-05-23,LAND TRANSPORT AUTHORITY
2016-06-14,RMINRM-201512-0646,"For details, please call",RICHARDS AVENUE,2015-12-23,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0730,"For details, please call 64222119",RIVER VALLEY ROAD (Bus Lane Affected),2016-04-30,LAND TRANSPORT AUTHORITY
2016-07-31,RMINRM-201603-0035,"For details, please call",ROBIN CLOSE,2016-03-01,LAND TRANSPORT AUTHORITY
